Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Ryan, Joe",657746,FF,-2.50,53.66,4.82,11.05,-133.63,-3.43,-12.81,29.81,-14.06,2309,222
"Ryan, Joe",657746,FF,-2.54,53.97,4.91,11.07,-133.45,-4.67,-12.58,29.07,-14.78,2306,222
"Ryan, Joe",657746,FF,-2.51,54.17,4.99,10.85,-134.90,-4.28,-13.27,29.63,-15.48,2224,220
"Ryan, Joe",657746,FF,-2.53,54.08,4.85,7.10,-133.09,-3.07,-11.50,31.31,-15.64,2249,227
"Ryan, Joe",657746,FF,-2.34,53.40,4.94,10.43,-135.55,-4.24,-10.98,31.85,-13.76,2297,218
"Ryan, Joe",657746,CH,-2.66,54.39,5.10,9.22,-128.21,-6.10,-20.36,25.56,-25.79,1976,243
"Ryan, Joe",657746,FF,-2.68,54.23,4.97,7.08,-135.23,-0.20,-9.98,28.71,-13.53,2337,210
"Ryan, Joe",657746,FF,-2.53,54.21,5.03,9.09,-134.07,-2.04,-10.38,31.66,-14.45,2304,216
"Ryan, Joe",657746,FF,-2.39,54.07,4.95,6.81,-133.60,-1.81,-9.84,30.58,-15.94,2220,219
"Ryan, Joe",657746,SL,-2.53,54.30,5.07,6.02,-119.31,-0.55,4.09,25.00,-29.63,2351,109
"Ryan, Joe",657746,FF,-2.49,54.07,4.97,7.07,-135.33,-3.47,-12.43,30.15,-15.87,2222,218
"Ryan, Joe",657746,FF,-2.47,54.25,5.04,7.76,-134.54,-1.13,-11.57,28.27,-16.62,2200,217
"Ryan, Joe",657746,FF,-2.63,54.33,5.04,8.87,-131.45,-1.53,-13.31,27.16,-17.48,2185,220
"Ryan, Joe",657746,SL,-2.57,54.61,5.23,2.59,-115.67,0.45,3.05,22.32,-29.43,2189,75
"Ryan, Joe",657746,FF,-2.45,53.96,4.99,10.97,-130.72,-3.37,-15.48,27.46,-15.14,2363,223
"Ryan, Joe",657746,FF,-2.51,54.34,5.10,9.71,-133.25,-0.61,-15.16,29.60,-15.25,2422,220
"Ryan, Joe",657746,CU,-2.57,54.58,5.30,4.68,-108.68,2.41,4.12,18.39,-37.23,2296,58
"Ryan, Joe",657746,FF,-2.65,54.17,5.06,6.78,-132.26,-1.91,-11.68,30.35,-17.91,2269,216
"Ryan, Joe",657746,SL,-2.67,54.62,5.18,3.22,-115.75,1.78,5.10,21.69,-32.40,2268,85
"Ryan, Joe",657746,SL,-2.69,54.46,5.13,4.75,-116.22,3.26,2.47,22.20,-32.34,2184,82
"Ryan, Joe",657746,FF,-2.63,54.03,5.01,7.12,-136.06,-1.10,-12.41,31.57,-15.77,2374,216
"Ryan, Joe",657746,CH,-2.63,54.32,5.04,8.26,-125.58,-1.09,-17.03,24.10,-29.26,1913,237
"Ryan, Joe",657746,FF,-2.52,54.06,5.00,9.39,-135.18,-3.14,-14.02,28.82,-15.55,2429,216
"Ryan, Joe",657746,CH,-2.75,54.25,5.04,9.86,-124.10,-4.88,-16.85,23.52,-26.69,2128,241
"Ryan, Joe",657746,FF,-2.65,53.90,4.95,11.75,-134.08,-5.02,-16.58,27.53,-14.95,2398,217
"Ryan, Joe",657746,SL,-2.68,54.55,5.13,4.48,-117.66,0.84,7.48,22.41,-27.89,2278,68
"Ryan, Joe",657746,FF,-2.48,54.22,4.98,8.07,-133.15,-3.93,-13.40,27.68,-15.47,2268,213
"Ryan, Joe",657746,SL,-2.55,54.39,5.16,10.69,-117.32,-2.96,5.70,24.30,-31.66,2412,58
"Ryan, Joe",657746,FF,-2.61,54.29,5.05,8.65,-133.12,-1.97,-8.53,28.50,-15.35,2225,218
"Ryan, Joe",657746,FF,-2.51,54.26,5.21,9.30,-132.51,0.44,-8.36,29.14,-17.29,2153,213
"Ryan, Joe",657746,CH,-2.57,54.33,5.10,6.95,-124.69,-2.86,-16.95,25.42,-25.57,2062,237
"Ryan, Joe",657746,CH,-2.58,54.47,5.14,5.43,-125.42,-2.25,-15.90,24.97,-26.05,2012,243
"Ryan, Joe",657746,CU,-2.50,54.63,5.30,5.96,-111.24,1.71,2.57,21.45,-35.77,2270,54
"Ryan, Joe",657746,CU,-2.48,54.69,5.33,3.92,-108.48,1.89,3.14,19.96,-37.43,2229,61
"Ryan, Joe",657746,FF,-2.72,54.27,5.02,5.47,-131.32,0.10,-11.37,26.29,-20.04,2147,220
"Ryan, Joe",657746,FF,-2.73,54.29,4.98,4.62,-131.72,-0.41,-10.89,26.45,-20.00,2111,222
"Ryan, Joe",657746,FF,-2.62,54.30,5.03,6.12,-128.73,0.66,-9.40,25.26,-19.80,1966,220
"Ryan, Joe",657746,FF,-2.53,54.14,5.14,8.60,-132.34,2.81,-10.57,27.30,-19.84,2004,220
"Ryan, Joe",657746,FF,-2.49,54.34,5.15,8.22,-131.96,-2.48,-14.09,27.23,-19.24,2344,218
"Ryan, Joe",657746,FF,-2.67,54.15,5.17,10.04,-136.06,-2.33,-13.39,28.25,-16.33,2399,217
"Ryan, Joe",657746,FF,-2.63,54.27,5.28,8.69,-133.40,-2.59,-12.44,26.87,-16.57,2376,211
"Ryan, Joe",657746,CH,-2.61,54.41,5.25,8.02,-123.86,-1.28,-15.70,22.61,-28.03,1859,241
"Ryan, Joe",657746,FF,-2.60,54.24,5.16,7.35,-134.86,0.68,-11.92,28.75,-16.05,2411,211
"Ryan, Joe",657746,SL,-2.62,54.51,5.23,5.57,-116.05,-3.15,6.94,20.86,-29.66,2345,57
"Ryan, Joe",657746,SL,-2.57,54.42,5.19,7.54,-118.08,-0.69,5.72,21.43,-30.08,2282,76
"Ryan, Joe",657746,FF,-2.58,54.01,5.03,9.78,-133.51,-4.07,-13.56,27.54,-15.66,2298,219
"Ryan, Joe",657746,FF,-2.49,54.16,5.10,8.10,-133.03,-4.56,-12.13,29.86,-14.16,2390,219
"Ryan, Joe",657746,CH,-2.56,54.41,5.13,5.78,-123.26,1.23,-17.95,25.75,-28.99,1949,244
"Ryan, Joe",657746,CH,-2.59,54.39,5.15,8.23,-123.75,-5.03,-16.85,24.93,-24.03,1886,245
"Ryan, Joe",657746,FF,-2.55,54.19,5.06,9.24,-131.26,-4.85,-13.03,27.71,-17.09,2353,219
"Ryan, Joe",657746,FF,-2.53,54.41,5.10,7.69,-134.22,0.27,-14.29,29.95,-17.55,2400,219
"Ryan, Joe",657746,FF,-2.54,54.20,5.00,10.60,-132.75,-5.44,-13.27,27.59,-15.56,2382,219
"Ryan, Joe",657746,SL,-2.55,54.44,5.23,7.15,-116.96,1.29,3.26,22.72,-31.11,2372,88
"Ryan, Joe",657746,SL,-2.42,54.48,5.15,7.75,-118.82,0.19,2.70,23.72,-31.33,2455,80
"Ryan, Joe",657746,FF,-2.62,54.31,5.16,7.13,-131.04,-1.28,-12.35,27.05,-17.22,2279,222
"Ryan, Joe",657746,FF,-2.51,54.36,4.99,9.54,-136.45,-3.65,-13.43,28.07,-17.08,2263,220
"Ryan, Joe",657746,CH,-2.54,54.13,5.05,10.77,-127.01,-5.20,-17.83,24.57,-24.18,1913,248
"Ryan, Joe",657746,FF,-2.49,53.94,5.04,13.58,-137.02,-3.12,-14.56,29.39,-15.51,2235,220
"Ryan, Joe",657746,CH,-2.52,54.24,5.11,9.28,-124.16,-2.98,-18.29,25.32,-25.32,2168,244
"Ryan, Joe",657746,FF,-2.49,54.31,5.08,10.00,-137.35,-2.33,-14.79,29.28,-15.43,2251,221
"Ryan, Joe",657746,SL,-2.51,54.18,5.13,7.91,-120.68,-2.41,4.30,22.57,-29.11,2199,57
"Ryan, Joe",657746,FF,-2.52,54.29,5.08,6.90,-135.78,-2.36,-12.78,28.62,-17.44,2219,218
"Ryan, Joe",657746,CH,-2.50,54.38,5.14,7.76,-125.95,-3.35,-16.02,23.55,-26.38,1961,246
"Ryan, Joe",657746,FF,-2.59,54.31,5.07,7.08,-132.06,-1.64,-12.18,24.90,-17.55,2145,219
"Ryan, Joe",657746,SL,-2.59,54.45,5.09,5.16,-114.29,-0.89,6.31,19.08,-29.11,2365,66
"Ryan, Joe",657746,SL,-2.59,54.24,5.05,3.74,-114.69,-0.25,9.21,20.13,-30.41,2302,73
"Ryan, Joe",657746,SL,-2.58,54.20,5.04,5.82,-118.27,-2.04,6.54,22.69,-29.61,2218,86
"Ryan, Joe",657746,FF,-2.61,54.18,4.90,6.50,-137.18,-1.98,-10.64,26.33,-18.01,2260,216
"Ryan, Joe",657746,FF,-2.53,54.09,4.93,9.33,-136.04,-2.53,-14.67,27.89,-13.62,2214,216
"Ryan, Joe",657746,FF,-2.59,54.26,5.07,9.26,-134.33,-3.01,-13.64,25.81,-13.90,2200,217
"Ryan, Joe",657746,FF,-2.63,54.03,4.88,6.13,-134.78,-0.35,-11.53,27.52,-18.63,2147,220
"Ryan, Joe",657746,SL,-2.59,54.61,5.10,6.24,-117.01,-1.89,6.75,20.58,-26.72,2273,74
"Ryan, Joe",657746,SL,-2.50,54.47,5.15,3.43,-116.07,1.12,5.58,21.61,-31.41,2243,73
"Ryan, Joe",657746,CH,-2.62,54.14,4.90,10.12,-125.73,-2.98,-15.57,22.32,-26.68,1859,242
"Ryan, Joe",657746,FF,-2.53,53.98,4.90,9.95,-134.04,-4.72,-13.96,27.50,-19.54,2147,220
"Ryan, Joe",657746,FF,-2.68,54.17,4.88,6.41,-134.51,-0.93,-11.23,27.43,-21.11,2133,219
"Ryan, Joe",657746,SL,-2.58,54.43,5.03,1.70,-115.78,0.22,10.59,21.01,-30.60,2411,71
"Ryan, Joe",657746,SL,-2.60,54.48,5.08,4.12,-115.50,0.01,10.67,23.16,-31.28,2539,58
"Ryan, Joe",657746,SL,-2.54,54.32,5.01,7.73,-117.89,-2.80,9.82,25.45,-30.06,2460,63
"Ryan, Joe",657746,SL,-2.55,54.63,5.11,2.72,-114.14,2.06,9.84,22.48,-28.07,2322,66
"Ryan, Joe",657746,FF,-2.59,54.29,4.95,5.20,-134.53,-2.47,-11.50,29.46,-17.62,2198,223
"Ryan, Joe",657746,FF,-2.65,54.24,4.98,6.92,-133.28,-3.03,-12.54,26.81,-19.23,2159,221
"Ryan, Joe",657746,SL,-2.62,54.21,5.06,3.29,-113.38,-1.25,7.19,21.10,-30.75,2367,62
"Ryan, Joe",657746,FF,-2.74,54.20,4.85,5.74,-135.02,-0.64,-12.65,28.05,-19.22,2232,225
"Ryan, Joe",657746,CH,-2.57,54.23,4.98,5.73,-125.27,1.85,-14.24,23.17,-29.16,1573,244
"Ryan, Joe",657746,CU,-2.44,54.44,5.35,4.32,-108.68,-0.88,5.46,19.03,-34.19,2431,55
"Ryan, Joe",657746,CH,-2.69,54.30,5.04,5.80,-122.89,1.63,-14.31,23.32,-30.13,1698,249
"Ryan, Joe",657746,FF,-2.59,54.13,4.96,6.33,-137.03,-2.08,-10.79,27.65,-16.40,2230,211
"Ryan, Joe",657746,CU,-2.53,54.36,5.13,3.83,-112.51,0.40,5.97,22.04,-40.83,2468,49
"Ryan, Joe",657746,FF,-2.59,54.01,4.90,10.65,-135.91,-1.45,-10.25,26.82,-11.24,2203,216
"Ryan, Joe",657746,FF,-2.62,54.08,4.91,6.51,-135.73,-1.42,-9.75,27.34,-17.13,2173,216
"Ryan, Joe",657746,CU,-2.46,54.48,5.25,5.02,-110.84,0.86,6.58,21.57,-38.22,2464,42
"Ryan, Joe",657746,FF,-2.51,54.12,4.95,9.60,-134.99,-6.02,-12.05,28.29,-14.28,2292,212
"Ryan, Joe",657746,FF,-2.42,54.14,4.96,8.20,-133.68,-1.61,-13.30,27.02,-17.77,2253,216
"Ryan, Joe",657746,CU,-2.52,54.20,5.20,6.38,-110.05,0.42,2.69,19.42,-38.14,2457,55
"Ryan, Joe",657746,SL,-2.56,54.33,5.04,4.87,-115.91,0.63,10.75,21.36,-30.45,2363,72
"Ryan, Joe",657746,SL,-2.61,54.42,5.05,6.33,-117.83,-0.02,4.63,20.18,-26.76,2388,71
"Ryan, Joe",657746,SL,-2.60,54.47,5.07,4.44,-114.87,-0.94,10.17,23.15,-32.82,2291,63
"Ryan, Joe",657746,FF,-2.68,54.17,5.04,8.18,-132.30,0.53,-9.57,27.41,-19.92,2117,220
"Ryan, Joe",657746,CU,-2.56,54.54,5.25,7.86,-109.37,0.96,3.85,17.62,-36.66,2533,53
"Ryan, Joe",657746,FF,-2.44,54.08,4.85,6.30,-135.15,-1.37,-13.39,29.20,-16.33,2341,222
"Ryan, Joe",657746,SL,-2.41,54.30,5.05,5.99,-116.07,-3.11,9.50,22.82,-29.22,2390,71
"Ryan, Joe",657746,SL,-2.50,54.45,5.14,4.59,-114.65,0.93,8.43,21.86,-28.52,2383,71
"Ryan, Joe",657746,FF,-2.54,54.28,5.08,10.79,-131.95,-3.41,-13.96,27.35,-15.87,2258,221
"Ryan, Joe",657746,SL,-2.58,54.53,5.22,-0.32,-113.47,1.94,11.02,21.29,-31.22,2248,83
"Ryan, Joe",657746,SL,-2.55,54.45,5.16,4.65,-115.62,1.02,9.03,22.45,-31.43,2383,64
"Ryan, Joe",657746,SL,-2.65,54.35,5.09,4.56,-115.92,-1.56,10.03,22.45,-29.89,2315,66
"Ryan, Joe",657746,FF,-2.57,54.08,5.04,7.71,-133.72,-1.32,-11.48,29.42,-17.42,2131,217
"Ryan, Joe",657746,FF,-2.69,54.28,5.14,8.15,-131.99,-3.89,-10.83,26.70,-16.63,2102,224
"Ryan, Joe",657746,FF,-2.65,54.24,5.10,10.34,-132.41,-0.79,-10.26,25.87,-19.16,2144,211
"Ryan, Joe",657746,FF,-2.53,54.22,5.06,10.00,-133.33,-2.08,-10.89,24.16,-16.97,2188,217
"Ryan, Joe",657746,SL,-2.44,54.43,5.15,5.40,-116.32,0.39,11.08,23.39,-32.19,2429,55
"Ryan, Joe",657746,SL,-2.62,54.07,5.02,9.68,-117.59,-1.95,7.86,25.14,-32.27,2387,57
"Ryan, Joe",657746,FF,-2.55,54.04,5.02,8.11,-134.99,-3.47,-14.53,27.76,-13.60,2406,225
"Ryan, Joe",657746,SL,-2.54,54.59,5.16,1.33,-116.28,1.13,10.30,23.41,-32.21,2212,64
"Ryan, Joe",657746,CH,-2.66,54.42,5.17,8.27,-125.32,-2.95,-15.96,24.13,-25.49,1851,249
"Ryan, Joe",657746,CH,-2.64,54.11,5.07,5.71,-124.81,1.19,-14.73,24.74,-27.37,1848,247
"Ryan, Joe",657746,CU,-2.50,54.69,5.37,6.33,-111.29,-1.85,5.15,19.26,-37.34,2378,54
"Ryan, Joe",657746,FF,-2.65,54.10,5.06,6.25,-136.90,-1.48,-13.44,31.84,-16.24,2326,219
"Ryan, Joe",657746,CU,-2.47,54.57,5.35,7.72,-112.08,-6.26,3.87,21.66,-34.47,2369,41
"Ryan, Joe",657746,FF,-2.60,54.23,5.20,8.26,-133.43,-4.47,-8.51,27.87,-13.94,2160,218
"Ryan, Joe",657746,CU,-2.54,54.48,5.37,2.57,-108.48,3.35,7.27,18.51,-36.77,2272,54
"Ryan, Joe",657746,SL,-2.53,54.41,5.13,4.91,-116.96,0.60,11.27,24.14,-31.52,2389,65
"Ryan, Joe",657746,SL,-2.62,54.40,5.13,5.77,-117.01,-1.06,7.05,24.53,-30.56,2342,74
"Ryan, Joe",657746,FF,-2.56,54.23,5.04,8.66,-132.19,-1.92,-12.27,27.19,-16.77,2371,218
"Ryan, Joe",657746,FF,-2.64,54.08,5.00,9.76,-133.08,-3.50,-13.58,26.72,-16.49,2163,223
"Ryan, Joe",657746,CU,-2.53,54.64,5.27,1.84,-109.46,1.57,6.29,18.75,-38.49,2311,54
"Ryan, Joe",657746,CU,-2.49,54.53,5.24,7.00,-112.09,-0.91,5.99,21.76,-38.17,2543,52
