Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Diekman, Jake",518617,FF,3.09,54.09,5.71,-11.34,-137.20,-5.23,21.46,28.01,-19.49,2256,126
"Diekman, Jake",518617,SL,3.30,54.43,5.63,-6.16,-118.49,-3.38,-9.80,21.04,-29.51,2938,314
"Diekman, Jake",518617,SI,3.21,54.24,5.67,-11.78,-135.58,-4.74,21.62,25.34,-21.53,2194,123
"Diekman, Jake",518617,SL,3.38,54.03,5.55,-2.83,-118.87,-1.45,-14.55,22.52,-31.90,2871,301
"Diekman, Jake",518617,SL,3.43,54.28,5.59,-7.72,-119.97,-3.06,-8.23,25.31,-27.40,3032,316
"Diekman, Jake",518617,FF,3.12,54.14,5.71,-12.23,-138.43,-3.58,19.51,33.01,-17.23,2346,126
"Diekman, Jake",518617,FF,3.16,54.08,5.71,-13.96,-138.37,-5.76,20.93,31.46,-16.98,2293,121
"Diekman, Jake",518617,FF,3.32,53.66,5.69,-8.64,-138.70,-4.58,19.33,31.28,-20.09,2385,125
"Diekman, Jake",518617,SL,3.38,54.42,5.57,-6.70,-119.62,-3.33,-10.82,23.77,-29.92,2925,310
"Diekman, Jake",518617,SL,3.38,54.39,5.64,-5.29,-118.41,3.02,-8.60,21.82,-32.26,3044,295
"Diekman, Jake",518617,SL,3.40,54.13,5.55,-3.13,-119.21,-0.58,-8.60,22.27,-31.85,3017,322
"Diekman, Jake",518617,FF,3.13,54.23,5.75,-14.12,-138.23,-5.20,25.11,30.83,-16.22,2451,120
"Diekman, Jake",518617,FF,3.23,54.29,5.73,-11.52,-138.25,-2.19,23.38,33.27,-20.30,2397,125
"Diekman, Jake",518617,FF,3.20,54.23,5.72,-14.98,-138.15,-4.38,23.76,28.12,-18.26,2253,125
"Diekman, Jake",518617,FF,3.14,54.19,5.76,-13.29,-139.26,-7.42,22.45,30.43,-17.03,2468,124
"Diekman, Jake",518617,FF,3.35,54.38,5.68,-9.20,-139.32,-3.87,23.58,31.74,-20.23,2358,120
"Diekman, Jake",518617,FF,3.17,54.16,5.80,-9.77,-138.59,0.83,21.69,30.71,-16.80,2426,125
"Diekman, Jake",518617,FF,3.04,54.26,5.79,-12.13,-137.92,-8.54,24.55,28.46,-16.11,2347,124
"Diekman, Jake",518617,FF,3.23,54.25,5.78,-11.18,-138.97,-2.82,21.57,29.46,-16.81,2372,121
"Diekman, Jake",518617,FF,3.16,53.67,5.56,-10.19,-139.51,-2.14,21.50,31.50,-20.31,2344,117
