Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"May, Dustin",669160,FF,-2.41,53.92,5.31,10.76,-143.57,-9.27,-19.47,35.62,-10.88,2527,227
"May, Dustin",669160,SI,-2.53,54.09,5.10,11.24,-143.07,-4.43,-24.44,33.69,-23.55,2335,236
"May, Dustin",669160,SI,-2.53,54.15,5.14,6.67,-143.12,-3.15,-23.69,33.38,-22.70,2393,235
"May, Dustin",669160,SI,-2.35,53.96,5.10,8.89,-141.39,-4.10,-21.38,33.47,-22.95,2248,236
"May, Dustin",669160,FC,-2.29,54.01,5.27,2.97,-134.45,0.21,0.55,24.31,-28.17,2346,204
"May, Dustin",669160,SI,-2.37,54.02,5.16,9.56,-142.98,-4.47,-22.18,32.52,-22.93,2280,234
"May, Dustin",669160,SI,-2.35,53.88,5.06,11.05,-141.67,-6.74,-21.31,33.75,-21.79,2357,233
"May, Dustin",669160,FC,-2.45,53.98,5.24,6.14,-135.39,-2.96,-2.75,26.39,-25.12,2445,216
"May, Dustin",669160,CU,-2.46,53.85,5.15,2.19,-124.96,-2.20,16.00,27.93,-36.48,3357,48
"May, Dustin",669160,FF,-2.23,53.84,5.53,7.86,-143.25,-2.39,-12.86,33.54,-14.38,2183,221
"May, Dustin",669160,FC,-2.34,54.10,5.32,6.80,-134.39,-5.64,-2.24,24.71,-22.90,2383,219
"May, Dustin",669160,CH,-2.43,53.98,5.17,8.49,-129.35,0.07,-15.49,25.87,-27.46,1899,263
"May, Dustin",669160,FC,-2.45,53.96,5.28,5.24,-136.89,-1.84,-1.32,27.47,-23.69,2372,228
"May, Dustin",669160,SI,-2.32,53.87,5.12,9.29,-141.97,-4.92,-23.90,34.27,-25.98,2310,239
"May, Dustin",669160,SI,-2.34,53.95,5.09,8.23,-140.15,-6.77,-24.59,35.11,-22.68,2207,237
"May, Dustin",669160,SI,-2.30,53.82,5.20,10.86,-139.66,-6.38,-23.11,29.01,-23.12,2226,235
"May, Dustin",669160,FC,-2.37,53.98,5.27,9.38,-134.28,-4.73,-3.26,26.05,-24.21,2470,215
"May, Dustin",669160,SI,-2.45,53.98,5.14,8.60,-140.05,-5.12,-22.39,32.91,-24.42,2291,236
"May, Dustin",669160,CU,-2.33,54.15,5.23,2.68,-124.25,-2.75,16.03,27.93,-37.71,3298,47
"May, Dustin",669160,FF,-2.26,53.87,5.45,8.29,-140.51,-2.02,-15.11,31.13,-16.74,2150,223
"May, Dustin",669160,CH,-2.34,53.98,5.09,6.54,-129.43,-6.31,-14.98,26.37,-30.12,1831,268
"May, Dustin",669160,FC,-2.35,54.01,5.28,6.24,-134.30,-4.99,-2.22,25.71,-25.12,2255,216
"May, Dustin",669160,FC,-2.28,53.79,5.16,5.65,-133.92,-3.16,-0.16,27.68,-27.22,2356,239
"May, Dustin",669160,SI,-2.45,53.97,5.08,5.15,-141.95,-2.54,-21.29,34.08,-24.05,2215,238
"May, Dustin",669160,CU,-2.44,54.22,5.21,2.75,-120.58,3.40,15.25,23.72,-36.36,3137,45
"May, Dustin",669160,CU,-2.39,54.11,5.23,3.64,-122.87,-3.57,13.22,24.78,-36.63,3168,45
"May, Dustin",669160,CH,-2.41,54.03,5.09,5.37,-128.24,-1.59,-12.05,25.27,-32.74,1875,266
"May, Dustin",669160,FC,-2.43,54.08,5.31,5.61,-134.14,-3.56,-4.53,26.98,-25.43,2376,214
"May, Dustin",669160,SI,-2.39,53.87,5.16,8.05,-139.49,-4.77,-21.30,31.21,-24.19,2213,242
"May, Dustin",669160,SI,-2.35,53.98,5.24,6.22,-138.50,-5.16,-20.60,33.17,-21.05,2175,235
"May, Dustin",669160,FF,-2.11,53.81,5.55,7.12,-145.27,-2.15,-13.57,31.69,-12.38,2387,219
"May, Dustin",669160,FC,-2.24,53.93,5.28,7.64,-135.95,-1.72,1.83,25.89,-27.69,2402,195
"May, Dustin",669160,SI,-2.30,53.91,5.12,7.84,-144.27,-2.22,-22.11,29.39,-26.04,2296,231
"May, Dustin",669160,CU,-2.51,53.93,5.14,0.38,-124.09,0.34,15.57,27.86,-36.28,3386,53
"May, Dustin",669160,FF,-2.07,53.68,5.55,6.40,-146.09,-4.72,-13.02,33.29,-11.99,2395,217
"May, Dustin",669160,FC,-2.36,53.91,5.28,8.50,-135.95,-4.48,-0.81,28.11,-23.83,2547,233
"May, Dustin",669160,CH,-2.43,53.97,5.07,9.70,-131.83,-4.58,-15.06,26.06,-31.17,1986,260
"May, Dustin",669160,SI,-2.34,53.93,5.17,8.64,-144.29,-3.35,-23.51,33.39,-20.27,2321,238
"May, Dustin",669160,FC,-2.26,53.75,5.30,9.11,-136.78,-5.55,-1.94,27.69,-23.89,2483,206
"May, Dustin",669160,FF,-2.02,53.78,5.59,7.61,-145.61,-3.83,-11.83,34.28,-12.80,2314,221
"May, Dustin",669160,SI,-2.24,53.85,5.10,10.96,-143.86,-4.64,-29.23,38.25,-19.99,2374,233
"May, Dustin",669160,SI,-2.34,53.93,5.11,7.08,-144.25,-5.22,-24.33,34.01,-23.98,2380,232
"May, Dustin",669160,SI,-2.30,53.86,5.18,11.73,-143.31,-5.81,-25.71,30.28,-22.56,2385,232
